Filename,Total_Vertices,Mean,Median,Std,Min,Max,RMSE,Pct_Within_Cutoff,R1_Count,R1_Mean,R1_Max,R1_RMSE,R1_Pct_Within,R2_Count,R2_Mean,R2_Max,R2_RMSE,R2_Pct_Within,R3_Count,R3_Mean,R3_Max,R3_RMSE,R3_Pct_Within,R4_Count,R4_Mean,R4_Max,R4_RMSE,R4_Pct_Within,R5_Count,R5_Mean,R5_Max,R5_RMSE,R5_Pct_Within,R6_Count,R6_Mean,R6_Max,R6_RMSE,R6_Pct_Within,Menton_Distance
103_mapped.obj,7160,5.387205,4.001434,4.104234,0.155432,15.152321,6.772497,0.52,850,5.643425,15.152321,6.971183,0.35,667,5.940424,15.043144,7.26555,0.6,2318,5.287236,15.152139,6.692579,0.6,760,4.849762,14.914195,6.228794,0.66,400,5.011733,14.871783,6.406771,0.5,2165,5.481242,15.152321,6.869233,0.42,0.5302889094343968
113_mapped.obj,7160,2.883143,2.303171,1.972565,0.049115,9.372316,3.493354,1.75,850,2.955962,9.326399,3.54312,1.76,667,3.252347,9.372316,3.841217,0.9,2318,2.803811,9.358864,3.416384,2.5,760,2.653373,9.372316,3.417317,1.84,400,2.481766,9.103049,3.067067,2.5,2165,2.980561,9.19423,3.542678,1.02,2.776038333973604
137_mapped.obj,7160,2.328874,2.365128,0.99007,0.077215,5.05853,2.530592,2.39,850,2.456205,4.963865,2.657025,2.0,667,2.422115,5.035899,2.621943,1.35,2318,2.289841,4.964873,2.494788,3.02,760,2.137517,4.951347,2.324797,2.63,400,2.174998,4.964873,2.39097,3.75,2165,2.387552,5.05853,2.58297,1.85,0.9112518431754992
192_mapped.obj,7160,1.498102,1.340394,0.738049,0.01442,4.424299,1.670038,4.3,850,1.503418,4.053688,1.664251,3.18,667,1.545353,4.053226,1.725512,4.2,2318,1.496523,4.424299,1.66517,5.0,760,1.430787,4.307917,1.61947,5.39,400,1.45268,4.15527,1.615108,4.0,2165,1.515171,4.424299,1.687508,3.7,2.4233103258955913
259_mapped.obj,7160,2.598522,1.841373,2.044775,0.059021,10.897263,3.306573,2.6,850,2.557768,10.046837,3.19078,2.47,667,2.658386,10.041605,3.28886,2.25,2318,2.6359,10.897263,3.38901,2.85,760,2.681928,10.229315,3.521047,3.68,400,2.521443,9.97722,3.303077,3.25,2165,2.541024,10.494967,3.18811,1.99,5.34103870939456
293_mapped.obj,7160,4.527763,3.282008,3.258862,0.002724,14.056583,5.578603,2.21,850,4.759503,14.056583,5.82954,1.76,667,5.052245,13.887594,6.056374,0.9,2318,4.42439,14.024628,5.484633,3.06,760,3.972796,13.792124,4.947936,2.5,400,4.272383,13.828109,5.276454,0.5,2165,4.627871,14.056583,5.686284,2.08,3.455561522804805
307_mapped.obj,7160,1.982546,2.00553,0.667939,0.001086,4.044354,2.09204,1.13,850,2.026448,3.995793,2.130195,0.24,667,2.01637,4.044354,2.113251,0.0,2318,1.953052,4.044354,2.071968,1.77,760,1.959172,3.952147,2.067591,1.58,400,1.9396,3.891131,2.049774,1.5,2165,2.002609,3.995793,2.107946,0.92,2.424030123650411
350_mapped.obj,7160,3.541041,2.790704,2.876479,0.016314,16.927284,4.562138,3.51,850,3.617666,16.927284,4.663886,2.71,667,3.896756,16.884961,4.933387,1.95,2318,3.462893,16.927284,4.441711,3.36,760,3.185802,16.707121,4.136442,3.95,400,3.405504,16.706031,4.530682,4.75,2165,3.634782,16.884961,4.676766,4.06,5.421156763861319
388_mapped.obj,7160,2.050616,1.855026,1.147201,0.008458,5.500139,2.349701,5.64,850,2.124677,4.901215,2.391638,4.47,667,2.197086,5.500139,2.497729,3.15,2318,2.027843,5.500139,2.327706,6.38,760,1.932832,5.351269,2.236269,6.84,400,1.982398,5.281157,2.291587,7.25,2165,2.054745,5.482713,2.358931,5.36,7.248891399587448
399_mapped.obj,7160,1.726127,1.557246,0.881858,0.029849,4.10831,1.938346,3.65,850,1.691877,4.106609,1.909833,3.18,667,1.748123,4.10831,1.959888,2.55,2318,1.753492,4.106609,1.966648,3.67,760,1.75365,4.10831,1.974026,5.13,400,1.713131,3.99324,1.918695,4.25,2165,1.696238,4.072398,1.902911,3.51,4.059914967001145
428_mapped.obj,7160,2.220214,1.163949,2.566061,0.003605,10.561591,3.393231,9.65,850,2.216876,9.783039,3.300459,9.41,667,2.376908,10.2335,3.522894,8.55,2318,2.238288,10.561591,3.445851,10.35,760,2.164401,10.270158,3.530172,10.13,400,2.100077,9.81654,3.363032,9.5,2165,2.195686,10.450878,3.286506,9.19,5.273229788087276
437_mapped.obj,7160,1.56018,1.500004,0.665672,0.01761,3.368866,1.696255,5.17,850,1.619217,3.363409,1.751195,3.18,667,1.614007,3.35478,1.746806,3.9,2318,1.539546,3.35478,1.68182,6.13,760,1.378334,3.202448,1.499674,7.63,400,1.485955,3.056746,1.612313,6.5,2165,1.620058,3.368866,1.753099,4.2,0.9232266069490453
482_mapped.obj,7160,3.94448,3.264269,2.40526,0.001655,8.993898,4.619978,2.33,850,4.012356,8.943477,4.648486,0.82,667,3.767115,8.95208,4.380147,0.9,2318,3.951876,8.993898,4.650459,3.32,760,4.094519,8.993898,4.88782,4.21,400,4.000843,8.944336,4.736163,1.75,2165,3.901473,8.95208,4.52859,1.76,1.586719836537105
487_mapped.obj,7160,1.187358,1.130597,0.527889,0.000614,2.895361,1.299418,7.91,850,1.225649,2.86776,1.337802,7.53,667,1.251358,2.889557,1.35354,6.45,2318,1.160058,2.889557,1.277558,9.23,760,1.066135,2.815221,1.171513,9.74,400,1.180566,2.819841,1.284533,9.25,2165,1.225647,2.895361,1.335241,6.19,1.3796209402002013
518_mapped.obj,7160,4.00053,2.048873,4.30813,0.032276,16.555595,5.879134,1.8,850,3.97078,16.188257,5.715268,1.88,667,4.17352,16.399842,6.026458,1.8,2318,4.06185,16.555595,5.969879,1.73,760,4.252697,16.555595,6.294823,1.32,400,3.751265,16.384995,5.779642,1.5,2165,3.850793,16.404149,5.661838,2.08,12.305226347473367
532_mapped.obj,7160,1.151134,1.112728,0.540527,0.039214,3.862472,1.271723,10.66,850,1.126182,3.862472,1.238533,10.0,667,1.189327,3.20967,1.303269,9.15,2318,1.138986,3.228296,1.264404,11.35,760,1.094821,3.119272,1.225708,12.5,400,1.211368,3.228296,1.338874,9.5,2165,1.170811,3.862472,1.285609,10.21,0.8863777042482828
604_mapped.obj,7160,1.95877,1.761675,1.032594,0.003828,6.402657,2.214279,3.94,850,1.948329,5.799137,2.175929,2.82,667,1.954007,5.249907,2.17482,3.0,2318,1.979745,6.402657,2.2515,4.57,760,2.010053,6.342613,2.307264,5.39,400,1.941506,6.205521,2.235839,4.75,2165,1.927067,6.342613,2.163147,3.33,2.9063688387558066
61_mapped.obj,7160,3.131086,2.140954,2.537653,0.006613,11.942089,4.030308,3.92,850,3.198388,11.816905,4.135391,3.18,667,3.475054,11.490099,4.345855,2.4,2318,3.023258,11.624764,3.909952,4.66,760,2.832856,11.442821,3.607175,6.58,400,3.008055,11.942089,3.860522,3.5,2165,3.241561,11.942089,4.182985,3.05,3.8137125829135803
677_mapped.obj,7160,1.02236,0.987321,0.425578,0.005219,2.368458,1.107401,10.27,850,1.025841,2.24907,1.09972,8.94,667,1.073168,2.367783,1.145189,6.9,2318,1.000453,2.364654,1.093382,12.04,760,0.971833,2.368458,1.078375,13.95,400,1.024266,2.305473,1.103982,10.0,2165,1.046179,2.368458,1.124041,8.68,0.8783966295890977
74_mapped.obj,7160,1.679505,1.567054,0.804364,0.015262,4.649424,1.862186,4.12,850,1.665011,4.439108,1.853371,3.88,667,1.663012,4.517535,1.86872,3.3,2318,1.67777,4.517535,1.857038,4.49,760,1.771999,4.35187,1.928512,3.82,400,1.662781,4.373382,1.842024,3.0,2165,1.662755,4.649424,1.849089,4.39,1.6225496812552578
813_mapped.obj,7160,1.580187,1.418642,0.816826,0.024708,4.991661,1.778819,4.34,850,1.587223,4.628929,1.760895,3.53,667,1.626162,4.982773,1.816036,3.15,2318,1.592607,4.991661,1.800756,5.13,760,1.455679,4.9149,1.679568,5.53,400,1.538375,4.72684,1.75676,2.75,2165,1.601396,4.945054,1.788495,4.06,1.725723061737464
824_mapped.obj,7160,2.09342,2.028113,0.873786,0.010574,5.769999,2.26846,2.29,850,2.152918,5.706511,2.319228,1.18,667,2.19299,5.73574,2.384775,1.8,2318,2.07776,5.769999,2.244876,2.37,760,1.985371,5.693377,2.15474,2.63,400,2.019523,5.021962,2.196565,3.5,2165,2.107733,5.769999,2.288573,2.45,7.836338122865023
82_mapped.obj,7160,3.06991,2.112905,2.349019,0.043382,10.123297,3.865519,2.03,850,3.172594,10.017733,3.946968,1.06,667,3.424916,10.123297,4.216165,2.85,2318,2.999879,10.123297,3.785749,2.29,760,2.80752,10.084067,3.740249,2.5,400,2.8097,10.009129,3.568595,1.5,2165,3.13539,10.009129,3.900657,1.8,6.905038816064518
869_mapped.obj,7160,2.046453,1.821622,1.145458,0.031968,7.675436,2.345217,1.09,850,2.135816,7.444801,2.444515,0.47,667,2.214449,7.150985,2.553638,0.6,2318,1.997277,7.675436,2.284422,1.6,760,1.79688,6.97481,2.020792,1.45,400,1.87465,6.414351,2.111192,1.5,2165,2.131615,7.560138,2.447451,0.74,2.3192294897524377
86_mapped.obj,7160,3.322892,2.233201,2.735309,0.045663,13.18835,4.303897,1.86,850,3.33769,12.728872,4.240551,1.53,667,3.557745,11.807137,4.433209,1.05,2318,3.314676,13.065658,4.329572,2.16,760,3.26148,12.723197,4.419799,1.84,400,3.182186,13.065658,4.249183,3.75,2165,3.301078,13.18835,4.228728,1.57,1.299053016910241
876_mapped.obj,7160,2.218197,2.173029,0.966891,0.006441,6.274388,2.419768,2.01,850,2.212316,6.268332,2.398907,1.53,667,2.24786,5.520235,2.415515,0.9,2318,2.228411,6.268332,2.435278,2.8,760,2.255228,6.247003,2.495214,3.29,400,2.188817,6.197249,2.405622,1.0,2165,2.192861,6.274388,2.388074,1.43,5.449097997362898
