id,filename,avg_dist,max_dist,FA_mean,FA_max
61,130928143720.obj,0.4639,4.9513,3.1311,11.9421
74,130928174232.obj,0.4599,3.1789,1.6795,4.6494
82,130929121143.obj,0.4920,7.8306,3.0699,10.1233
86,130929130540.obj,0.4551,2.5903,3.3229,13.1883
103,130929163312.obj,0.4611,9.7542,5.3872,15.1523
113,130929173601.obj,0.4491,3.1372,2.8831,9.3723
137,131002133045.obj,0.4741,3.4450,2.3289,5.0585
192,131004155701.obj,0.4480,3.8023,1.4981,4.4243
259,131006164858.obj,0.4338,3.2359,2.5985,10.8973
293,131010170114.obj,0.4813,4.0616,4.5278,14.0566
307,131011172627.obj,0.4570,5.8164,1.9825,4.0444
350,131015135611.obj,0.6718,12.6250,3.5410,16.9273
388,131017151140.obj,0.4607,5.0807,2.0506,5.5001
399,131018141719.obj,0.4473,2.2672,1.7261,4.1083
428,131020130131.obj,0.4380,1.7061,2.2202,10.5616
437,131020155555.obj,0.4361,3.3103,1.5602,3.3689
482,131025132715.obj,0.4385,3.0096,3.9445,8.9939
487,131025160303.obj,0.4569,2.4191,1.1874,2.8954
518,131027152136.obj,0.5420,11.2718,4.0005,16.5556
532,131030161935.obj,0.5023,7.0765,1.1511,3.8625
604,131103150835.obj,0.4511,3.9243,1.9588,6.4027
677,131110145222.obj,0.4331,3.5779,1.0224,2.3685
813,131121171640.obj,0.4659,9.2887,1.5802,4.9917
824,131123121619.obj,0.4413,2.4761,2.0934,5.7700
869,131127165215.obj,0.4417,2.4979,2.0465,7.6754
876,131128150725.obj,0.4525,3.8419,2.2182,6.2744
